time,traj,ipca1,ipca2
17.2,4,2.9814318092048246,-4.200416033525746
17.2,5,3.4518957525567595,-4.06113825365334
17.2,6,3.905469521623241,-2.9342014952525233
17.2,7,3.255021553653826,-4.915510529270787
17.2,8,3.5754956914074527,-4.91291505535921
17.2,9,4.7731974913728665,-3.970985159776837
17.2,10,2.1567681998835235,-2.905893585326967
17.2,11,3.3421756906359033,-1.507227077747743
17.2,12,4.055458651286338,-4.683118478770026
17.2,13,3.75034657235896,-1.4001072201170495
17.2,14,2.770334604134625,-4.290633163399221
17.2,15,3.552391662873033,-6.28796312654185
17.2,16,4.309306581559704,-4.882415831277146
17.2,17,-0.4462025163240773,-3.306981126740743
17.2,18,2.5885796481815504,-4.996218604969039
17.2,19,3.3165767431886577,-3.759988136962973
17.2,20,5.399135138891595,-4.820150700559238
17.2,21,1.769838654573116,-6.191652626322659
17.2,22,2.2747963464208687,-4.323315555103945
17.2,23,4.251927391214957,-6.549765912911103
17.2,24,5.476276519986383,-4.796805585449952
17.2,25,1.9519288735056446,-1.3215100835305609
17.2,26,2.960426245180891,-5.067421139394848
17.2,27,3.869366031641609,-3.215947841193479
17.2,28,2.34855038955598,-3.436590845079818
17.2,29,3.293980556020451,-4.704468553315385
17.2,30,2.4921153671092005,-4.943729077508802
17.2,31,4.147989954948458,-3.147691592798224
17.2,32,3.6512608381440006,-2.051697202709642
17.2,33,1.714040305111738,-3.109469505481304
17.2,34,1.6344473250268292,-0.4746627208190284
17.2,35,2.1606136432133383,-5.168570318366244
17.2,36,3.3600943732926662,-0.5440625098159225
17.2,37,1.2440640617950967,-4.548224996487705
17.2,38,2.1920026883589885,-5.615505423238479
17.2,39,3.161369944714864,-4.645170271838113
17.2,40,1.9606193997049022,-2.2962845893721053
17.2,41,4.119799379067068,-3.701934953535288
17.2,42,4.521203261464026,-6.226734534353828
17.2,43,1.9681179049865007,-3.3215648356648324
17.2,44,1.5255169212735824,-1.7604169797817302
17.2,45,0.8402339250014789,-6.525135909362804
17.2,46,1.8421968539915987,-3.9289415032548254
17.2,47,4.4370839848084795,-3.797344141491514
17.2,48,5.682014513112216,-6.553232191227818
17.2,49,5.124149703182769,-4.13234541785387
17.2,50,0.9787408240508807,-3.2371100321939434
17.3,1,4.768255921773422,-3.1828656295714626
17.3,2,1.4036393786729517,-6.246880632267896
17.3,3,4.259920346966712,-2.3186543581042085
17.3,4,2.950016866900878,-4.232279527520227
17.3,5,3.5007877135787195,-4.0355461998137425
17.3,6,3.93270509343997,-2.885449532388897
17.3,7,3.339505658873587,-4.916901893727506
17.3,8,3.6499279916330734,-4.912266286953085
17.3,9,4.808211798736043,-3.9445693715961245
17.3,10,2.2547579180863893,-2.851889216422968
17.3,11,3.3875436754095953,-1.369948198648497
17.3,12,4.089835321945872,-4.610795565351535
17.3,13,3.768295475676182,-1.3337172144654013
17.3,14,2.8289019607166592,-4.299148077777107
17.3,15,3.649099873152956,-6.246404443502944
17.3,16,4.3175302153169275,-4.828797062192038
17.3,17,-0.33429989103929175,-3.313652606306819
17.3,18,2.617494165171862,-4.981826071469257
17.3,19,3.387105143460463,-3.787878440980216
17.3,20,5.371116214038267,-4.7366503430607105
17.3,21,1.804865856247043,-6.1538153821506185
17.3,22,2.320695406385725,-4.287265807868757
17.3,23,4.310384500494653,-6.486652338454863
17.3,24,5.514675240193394,-4.727643311020577
17.3,25,1.8651099921106797,-1.2673439712412267
17.3,26,2.984901536320716,-5.102649318074931
17.3,27,4.003309434600544,-3.1857215793484075
17.3,28,2.359139297890541,-3.3746405961223402
17.3,29,3.283212141824416,-4.68547185162727
17.3,30,2.5237292770889126,-4.911067665965278
17.3,31,4.2366558763446625,-3.126914524149883
17.3,32,3.6648090730728216,-1.9029322869957288
17.3,33,1.748097951277244,-3.0358961523982915
17.3,34,1.7273395754459033,-0.4276911890865078
17.3,35,2.2137779142125793,-5.164709638580983
17.3,36,3.4162529001069677,-0.48471334381589243
17.3,37,1.2931769078048352,-4.544087893537567
17.3,38,2.1796646728549636,-5.611676785145372
17.3,39,3.1971594224992543,-4.679636706643804
17.3,40,1.954326171025694,-2.226992883172924
17.3,41,4.226156998096199,-3.664277851890235
17.3,42,4.5062961952356,-6.180053940059067
17.3,43,2.0049482228008357,-3.2307724301021525
17.3,44,1.6757623730897573,-1.71745265548533
17.3,45,0.8719824608737554,-6.491596006898802
17.3,46,1.9291364379121565,-3.9299636826206963
17.3,47,4.545612418418149,-3.7257313378347976
17.3,48,5.6945731435753455,-6.525738972391585
17.3,49,5.225984130719577,-4.096780889137682
17.3,50,1.018939127317045,-3.245070079936224
17.4,1,4.785353794426325,-3.136549450010532
17.4,2,1.4816039984595828,-6.310290347762565
17.4,3,4.255285776801492,-2.250848490490248
17.4,4,2.917602237541567,-4.264751407196926
17.4,5,3.550357649406529,-4.007903398269692
17.4,6,3.9604855937913452,-2.8357616997791992
17.4,7,3.422160228577351,-4.916835907959631
17.4,8,3.7235792053026495,-4.908011303423141
17.4,9,4.840893832458646,-3.916758128221656
17.4,10,2.353245657951434,-2.7957061671443912
17.4,11,3.428921586345174,-1.2304602092652752
17.4,12,4.125725934319458,-4.53439097123979
17.4,13,3.7842597606596384,-1.267704945143107
